CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
37103710137695,0691030,13054,Active,San Diego,San Diego County Office of Education,Community Montessori,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,No Data,(760) 743-7919,tnovacek@myelement.org,http://www.cmcharter.org,43282,No Data,Y,1947,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601464,33.129426,-117.11209,Terri,Novacek,tnovacek@myelement.org,44056
37103710137752,0691030,14308,Active,San Diego,San Diego County Office of Education,Dimensions Collaborative,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,No Data,(760) 743-7919,tnovacek@myelement.org,http://www.dimensions.org,43282,No Data,Y,1946,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0601991,33.129426,-117.11209,Terri,Novacek,tnovacek@myelement.org,44056
37103710138016,0691030,14290,Active,San Diego,San Diego County Office of Education,Pacific Springs Charter,1615 Mater Dei Drive,1615 Mater Dei Dr.,Chula Vista,91913-3953,CA,27740 Jefferson Avenue,27740 Jefferson Ave.,Temecula,92590,CA,(951) 252-8800,No Data,(951) 252-8801,receptionist@springscs.org,http://www.springscharterschools.org,43282,No Data,Y,1989,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEM,Elementary,K-12,K-8,N,N,N,0602035,32.620433,-116.97632,Kathleen,Hermsmeyer,kathleen.hermsmeyer@springscs.org,44056
37103710138404,0691030,14298,Active,San Diego,San Diego County Office of Education,Classical Academy Vista,2022 University Dr,2022 University Dr,Vista,92083-7736,CA,2022 University Dr,2022 University Dr,Vista,92083-7736,CA,(760) 330-9800,No Data,(760) 330-9810,klasto@classicalacademy.com,http://www.classicalacademy.com,43335,No Data,Y,2016,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601473,33.172498,-117.22066,Kirstin,Lasto,klasto@classicalacademy.com,44503
37103710138594,0691030,14341,Active,San Diego,San Diego County Office of Education,Dual Language Immersion North County,2030 University Drive,2030 University Dr.,Vista,92803-7736,CA,2030 University Drive,2030 University Dr.,Vista,92803-7736,CA,(760) 631-6200,No Data,No Data,mwirth@dlinorthcounty.org,http://www.dlinorthcounty.org/,43339,No Data,Y,2023,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601954,33.172999,-117.21997,Mallory,Wirth,mwirth@dlinorthcounty.org,44085
37103710138792,0691030,14353,Active,San Diego,San Diego County Office of Education,JCS - Manzanita,5300 Jackson Drive,5300 Jackson Dr.,La Mesa,91942-6014,CA,5300 Jackson Drive,5300 Jackson Dr.,La Mesa,91942,CA,(619) 303-4344,No Data,No Data,jcauzza@jcs-inc.org,http://www.jcs-inc.org,43371,No Data,Y,2024,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0601841,32.775721,-117.01398,Sheryl,McKay,smckay@jcs-inc.org,44582
37103711996545,0691030,10620,Active,San Diego,San Diego County Office of Education,North Coastal Consortium Schools,"255 Pico Avenue, Room 220","255 Pico Ave., Rm. 220",San Marcos,92069-3709,CA,"255 Pico Avenue, Room 220","255 Pico Ave., Rm. 220",San Marcos,92069-3709,CA,(760) 761-5110,No Data,(760) 471-2008,theresa.kurtz@sdcoe.net,http://nccse.org,37073,No Data,N,No Data,No Data,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,P-12,K-12,N,N,N,No Data,33.142539,-117.16504,Theresa,Kurtz,theresa.kurtz@sdcoe.net,44482
37103716069355,0691030,09244,Active,San Diego,San Diego County Office of Education,San Diego County Special Education,"6401 Linda Vista Road, Room 409","6401 Linda Vista Rd., Rm. 409",San Diego,92111-7319,CA,"6401 Linda Vista Road, Room 409","6401 Linda Vista Rd., Rm. 409",San Diego,92111-7319,CA,(858) 292-3774,No Data,(858) 569-5381,cara.schukoske@sdcoe.net,http://www.sdcoe.net,29403,No Data,N,No Data,No Data,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,K-12,1-12,N,N,Y,No Data,32.769409,-117.17960,Rachel,Page,rachel.page@sdcoe.net,44582
37103716119119,0691030,10374,Active,San Diego,San Diego County Office of Education,Literacy First Charter,799 East Washington Avenue,799 East Washington Ave.,El Cajon,92020-5327,CA,799 East Washington Avenue,799 East Washington Ave.,El Cajon,92020-5327,CA,(619) 579-7232,No Data,(619) 579-5730,debbie.beyer@lfcsinc.org,http://www.lfcsinc.org,37124,No Data,Y,0405,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0602098,32.787667,-116.95201,Debbie,Beyer,debbie.beyer@lfcsinc.org,44056
37679670000000,0602100,No Data,Active,San Diego,Alpine Union Elementary,No Data,2001 Tavern Rd,2001 Tavern Rd,Alpine,91901-2104,CA,2001 Tavern Rd,2001 Tavern Rd,Alpine,91901-2104,CA,(619) 445-3236,No Data,(619) 445-7045,rnewman@alpineschools.net,http://www.alpineschools.net,No Data,No Data,No Data,No Data,No Data,52,Elementary School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.824651,-116.77533,Richard,Newman,rnewman@alpineschools.net,44389
37679676037535,0602100,00092,Active,San Diego,Alpine Union Elementary,Joan MacQueen Middle,2001 Tavern Road,2001 Tavern Rd.,Alpine,91901-3129,CA,2001 Tavern Road,2001 Tavern Rd.,Alpine,91901-3129,CA,(619) 445-3245,No Data,(619) 445-6503,rnewman@alpineschools.net,http://www.alpineschools.net/joanmac,29403,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.819861,-116.77802,Casey,Currigan,ccurrigan@alpineschools.net,44350
37679676106256,0602100,09112,Active,San Diego,Alpine Union Elementary,Shadow Hills Elementary,8770 Harbison Canyon Road,8770 Harbison Canyon Rd.,Alpine,91901-2615,CA,8770 Harbison Canyon Road,8770 Harbison Canyon Rd.,Alpine,91901-2615,CA,(619) 445-2977,No Data,(619) 445-2157,No Data,http://www.alpineschools.net/shadowhills,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,1-5,K-5,N,N,N,No Data,32.831900,-116.81522,Meghan,Meris,mmeris@alpineschools.net,44389
37679676109086,0602100,09696,Active,San Diego,Alpine Union Elementary,Boulder Oaks Elementary,2320 Tavern Road,2320 Tavern Rd.,Alpine,91901-3134,CA,2320 Tavern Road,2320 Tavern Rd.,Alpine,91901-3134,CA,(619) 445-8676,No Data,(619) 445-1420,No Data,http://www.alpineschools.net/boulderoaks,32994,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,1-5,1-5,N,N,Y,No Data,32.819163,-116.77617,Jenna,Weinert,jweinert@alpineschools.net,44582
37679676109953,0602100,07300,Active,San Diego,Alpine Union Elementary,Mountain View Learning Academy,8770 Harbison Canyon Road,8770 Harbison Canyon Rd.,Alpine,91901-2615,CA,8770 Harbison Canyon Road,8770 Harbison Canyon Rd.,Alpine,91901-2615,CA,(619) 659-2854,No Data,(619) 659-2865,ymaier@alpineschools.net,http://www.alpineschools.net/mountainview,35592,No Data,N,No Data,No Data,52,Elementary School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,K-8,K-8,N,N,N,No Data,32.832208,-116.81507,Meghan,Meris,mmeris@alpineschools.net,44389
37679676118723,0602100,10375,Active,San Diego,Alpine Union Elementary,Creekside Early Learning Center,8818 Harbison Canyon Road,8818 Harbison Canyon Rd.,Alpine,91901-2616,CA,8818 Harbison Canyon Road,8818 Harbison Canyon Rd.,Alpine,91901-2616,CA,(619) 659-8250,No Data,(619) 659-8240,No Data,http://www.alpineschools.net/creekside,37104,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-K,K,N,N,N,No Data,32.832208,-116.81507,Tamara,Ripke,tripke@alpineschools.net,44349
37679830000000,0605700,No Data,Active,San Diego,Borrego Springs Unified,No Data,2281 Diegueno Road,2281 Diegueno Rd.,Borrego Springs,92004-0235,CA,1315 Palm Canyon Drive,1315 Palm Canyon Dr.,Borrego Springs,92004-0235,CA,(760) 767-5357,No Data,(760) 767-0494,No Data,No Data,No Data,No Data,No Data,No Data,No Data,54,Unified School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33.265514,-116.38373,Mark,Stevens,mstevens@bsusd.net,44033
37679830134890,0605700,14037,Active,San Diego,Borrego Springs Unified,San Diego Workforce Innovation High,2 Euclid Avenue Suite A,2 Euclid Ave. Ste. A,National City,91950-1967,CA,2 Euclid Avenue Suite A,2 Euclid Ave. Ste. A,National City,91950-1967,CA,(619) 432-4690,No Data,No Data,principal@innovationsandiego.org,http://www.innovationsandiego.org,42614,No Data,Y,1832,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,Y,0602108,32.689527,-117.08510,Lindsay,Reese,principal@innovationsandiego.org,44056
37679833730447,0605700,00518,Active,San Diego,Borrego Springs Unified,Borrego Springs High,2281 Diegueno Road,2281 Diegueno Rd.,Borrego Springs,92004-0235,CA,1315 Palm Canyon Drive,1315 Palm Canyon Dr.,Borrego Springs,92004-0235,CA,(760) 767-5335,No Data,(760) 767-5999,No Data,http://www.bsusd.net,29403,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,33.265514,-116.38373,Victoria,Baay,vbaay@bsusd.net,44482
37679836037550,0605700,00517,Active,San Diego,Borrego Springs Unified,Borrego Springs Elementary,1315 Palm Canyon Drive,1315 Palm Canyon Dr.,Borrego Springs,92004-0235,CA,1315 Palm Canyon Drive,1315 Palm Canyon Dr.,Borrego Springs,92004-0235,CA,(760) 767-5333,No Data,(760) 767-7438,No Data,No Data,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,33.256865,-116.34685,Sherrilynn,Polanco,spolanco@bsusd.net,44482
37679836115315,0605700,07636,Active,San Diego,Borrego Springs Unified,Borrego Springs Middle,2255 Diegueno Road,2255 Diegueno Rd.,Borrego Springs,92004,CA,1315 Palm Canyon Drive,1315 Palm Canyon Dr.,Borrego Springs,92004,CA,(760) 767-5335,No Data,(760) 767-5999,No Data,No Data,35674,No Data,N,No Data,No Data,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,33.264682,-116.38367,Victoria,Baay,vbaay@bsusd.net,44482
37679910000000,0606810,No Data,Active,San Diego,Cajon Valley Union,No Data,750 East Main Street,750 East Main St.,El Cajon,92020-4012,CA,PO Box 1007,PO Box 1007,El Cajon,92022-1007,CA,(619) 588-3005,No Data,(619) 588-7653,No Data,http://www.cajonvalley.net,No Data,No Data,No Data,No Data,No Data,52,Elementary School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.795716,-116.95309,David,Miyashiro,miyashirod@cajonvalley.net,43804
37679910108563,0606810,11124,Active,San Diego,Cajon Valley Union,EJE Elementary Academy Charter,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,(619) 401-4150,No Data,(619) 401-4151,No Data,No Data,38579,No Data,Y,0683,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,0601830,32.784935,-116.97083,Ariana,Gonzalez,ariana.gonzalez@ejeacademies.org,44425
37679910111005,0606810,11751,Active,San Diego,Cajon Valley Union,Los Coches Creek Middle,9669 Dunbar Lane,9669 Dunbar Ln.,El Cajon,92021-2619,CA,9669 Dunbar Lane,9669 Dunbar Ln.,El Cajon,92021-2619,CA,(619) 441-5741,No Data,(619) 938-1850,No Data,No Data,38950,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.858622,-116.81938,JoHanna,Simko,simkoh@cajonvalley.net,44056
37679910119255,0606810,12409,Active,San Diego,Cajon Valley Union,EJE Middle Academy,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,(619) 401-4150,No Data,(619) 401-4151,No Data,No Data,40042,No Data,Y,1063,Directly funded,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,0601859,32.784935,-116.97083,Janet,Vasquez,janet.vasquez@ejeacademies.org,43509
37679910136176,0606810,14179,Active,San Diego,Cajon Valley Union,Empower,165 Roanoke Road,165 Roanoke Rd.,El Cajon,92020-4015,CA,PO Box 1007,PO Box 1007,El Cajon,92022-1007,CA,(619) 588-3296,No Data,(619) 590-8598,No Data,http://www.cajonvalley.net,42963,No Data,N,No Data,No Data,52,Elementary School District,09,Special Education Schools (Public),SPEC,Special Education School,ELEM,Elementary,K-8,2-8,N,N,N,No Data,32.795836,-116.95489,Iman,Degano,deganoi@cajonvalley.net,44056
37679910139394,0606810,14409,Active,San Diego,Cajon Valley Union,Kidinnu Academy,1025 North Second Street,1025 North Second St.,El Cajon,92021-5844,CA,1025 North Second Street,1025 North Second St.,El Cajon,92021,CA,(619) 938-4864,No Data,No Data,No Data,http://www.kidinnu.com,43712,No Data,Y,2054,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-4,N,N,N,0602495,32.809266,-116.93478,Christin,Barkas,cbarkas@kidinnu.com,44056
37679910140558,0606810,14589,Active,San Diego,Cajon Valley Union,Bostonia Global,1390 Broadway,1390 Broadway,El Cajon,92021-5812,CA,1390 Broadway,1390 Broadway,El Cajon,92021,CA,(619) 588-3121,No Data,(619) 579-4849,wintern@cajonvalley.net,http://cajonvalley.net,44378,No Data,Y,2105,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,No Data,N,N,N,0602562,32.808029,-116.93165,Nerel,Winter,wintern@cajonvalley.net,44482
37679916037568,0606810,00603,Active,San Diego,Cajon Valley Union,Anza Elementary,1005 South Anza Street,1005 South Anza St.,El Cajon,92020-8602,CA,1005 South Anza Street,1005 South Anza St.,El Cajon,92020-8602,CA,(619) 588-3116,No Data,(619) 579-4815,maayaha@cajonvalley.net,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.786000,-116.94780,Abby,Maayah,maayaha@cajonvalley.net,44453
37679916037584,0606810,00607,Active,San Diego,Cajon Valley Union,Cajon Valley Middle,550 Park Avenue,550 Park Ave.,El Cajon,92020-3922,CA,550 Park Avenue,550 Park Ave.,El Cajon,92020-3922,CA,(619) 588-3092,No Data,(619) 579-4817,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.798383,-116.95555,Justin,Goodrich,goodrichj@cajonvalley.net,44056
37679916037592,0606810,00608,Active,San Diego,Cajon Valley Union,Chase Avenue Elementary,195 East Chase Avenue,195 East Chase Ave.,El Cajon,92020-6201,CA,195 East Chase Avenue,195 East Chase Ave.,El Cajon,92020-6201,CA,(619) 588-3123,No Data,(619) 588-3184,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.780336,-116.96003,Brian,Handley,handley@cajonvalley.net,44056
37679916037600,0606810,00609,Active,San Diego,Cajon Valley Union,Crest Elementary,2000 Suncrest Boulevard,2000 Suncrest Blvd.,El Cajon,92021-4249,CA,2000 Suncrest Boulevard,2000 Suncrest Blvd.,El Cajon,92021-4249,CA,(619) 558-3128,No Data,(619) 579-4855,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-5,N,N,N,No Data,32.805538,-116.86647,Sabrina,Copeland,copelands@cajonvalley.net,44118
37679916037626,0606810,00612,Active,San Diego,Cajon Valley Union,Emerald Middle,1221 South Emerald Avenue,1221 South Emerald Ave.,El Cajon,92020-7315,CA,1221 South Emerald Avenue,1221 South Emerald Ave.,El Cajon,92020-7315,CA,(619) 588-3097,No Data,(619) 588-3225,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.778996,-116.96869,David,Geck,geckd@cajonvalley.net,44057
37679916037634,0606810,00613,Active,San Diego,Cajon Valley Union,Flying Hills School of Arts,1251 Finch Street,1251 Finch St.,El Cajon,92020-1433,CA,1251 Finch Street,1251 Finch St.,El Cajon,92020-1433,CA,(619) 588-3132,No Data,(619) 579-4877,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,32.811827,-116.98240,Mike,Kuhfal,kuhfalm@cajonvalley.net,44056
37679916037642,0606810,00614,Active,San Diego,Cajon Valley Union,Fuerte Elementary,11625 Fuerte Drive,11625 Fuerte Dr.,El Cajon,92020-8309,CA,11625 Fuerte Drive,11625 Fuerte Dr.,El Cajon,92020-8309,CA,(619) 588-3134,No Data,(619) 579-4825,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.762217,-116.94678,Kristen,Goodrich,goodrichk@cajonvalley.net,44056
37679916037659,0606810,00615,Active,San Diego,Cajon Valley Union,Greenfield Middle,1495 Greenfield Drive,1495 Greenfield Dr.,El Cajon,92021-3414,CA,1495 Greenfield Drive,1495 Greenfield Dr.,El Cajon,92021-3414,CA,(619) 588-3103,No Data,(619) 588-3648,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,32.811048,-116.92834,Jacob,Launder,launderj@cajonvalley.net,44057
37679916037675,0606810,00617,Active,San Diego,Cajon Valley Union,Johnson Elementary,500 West Madison,500 West Madison,El Cajon,92020-3211,CA,500 West Madison,500 West Madison,El Cajon,92020-3211,CA,(619) 588-3139,No Data,(619) 579-4852,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.800800,-116.95620,Christine,Sphar,spharc@cajonvalley.net,43509
37679916037683,0606810,00618,Active,San Diego,Cajon Valley Union,Lexington Elementary,1145 Redwood Avenue,1145 Redwood Ave.,El Cajon,92019-4739,CA,1145 Redwood Avenue,1145 Redwood Ave.,El Cajon,92019-4739,CA,(619) 588-3075,No Data,(619) 588-3675,No Data,No Data,29403,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,32.791145,-116.94234,Lesley,Ezop,ezopl@cajonvalley.net,44057
